Item,Item Description,Item Status,Quantity,Subinventory,UOM,Location,Lot Number,Organization
S000001,(INACTIVE).....PHILLIPS POWER BIT #3  [ 9301112008 ],Inactive,0,,,,0.86,AAC Plant 1
S000002,SLOAN 1.6 GPF CLOSET KIT [ A41A ]  FERGUSON #S3301041,Active,2,STOCK CAGE,EA,1B012C,33.45,AAC Plant 1
S000002,SLOAN 1.6 GPF CLOSET KIT [ A41A ]  FERGUSON #S3301041,Active,2,STOCK CAGE,EA,2Q018C,33.45,AAC Plant 2
S000003,(INACTIVE).....1/4 BSP LH ROTOR [ 1102070104 ],Inactive,0,,,,186.3,AAC Plant 1
S000004,"(INACTIVE).....1/4"" AIR FITTING FOR 1/4"" AIR HOSE [ 13005 ]COMMON",Inactive,0,,,,5.6,AAC Plant 1
S000005,OMRON 3M CABLE FOR F3S-A [ F39-JA1C ]  [ F39JA1C ]VVT/351,OBSOLETE,0,,,,267.95,AAC Plant 1
S000006,OMRON 7 MM CABLE FOR F3S-A [ F39-JA2C-L ] [ F39JA2CL ]VVT/351,OBSOLETE,0,,,,168.66,AAC Plant 1
S000007,(INACTIVE).....90 DEGREE ANGLE HEAD [ 00PG63102 ],Inactive,0,,,,1764.71,AAC Plant 1
S000008,90 DEGREE QUICK SEAL [ L4N10X8PT 1/4 ] FINISH,Active,14,STOCK CAGE,EA,TC4-D02J,2.47,AAC Plant 2
S000009,90 DEGREE QUICK SEAL [ L4N8X6PT 1/4 ] FINISH,Active,11,STOCK CAGE,EA,TC4-D02K,1.74,AAC Plant 2
S000010,L4N8X6PT 1/8  90 DEGREE QUICK SEAL  FINISH,Active,26,STOCK CAGE,EA,TC4-D02L,1.74,AAC Plant 2
S000011,(INACTIVE).....90 REPAIR KIT [ 9008A ],Inactive,0,,,,10,AAC Plant 1
S000012,ABSCODER COUNTER   [NCV-30NBNLC] REPLACES [ AL220-7A1 ],Active,2,STOCK CAGE,EA,1C111C,2468.6,AAC Plant 1
S000013,ABSOLUTE ENCODER [ ASCSP10GC ] REPLACES ASS256G24C,Active,1,STOCK CAGE,EA,2V038B,357.14,AAC Plant 2
S000014,ABSOLUTE ENCODER [ ASCSP8GC ] DC 500-800,Active,1,STOCK CAGE,EA,2V038C,357.14,AAC Plant 2
S000015,ABSOLUTE ENCODER [ ASS-1024G ] DC03 DCL3010 [2250 LADLE ENCODER],Active,2,STOCK CAGE,EA,1A075E,724.3,AAC Plant 1
S000016,(INACTIVE).....ABSOLUTE ENCODER [ ASS256GC2430000E ] REPLACES [ ASS256G ]DC24V 50CM,Inactive,0,,,,323.54,AAC Plant 1
S000017,PANASONIC AC GEAR MOTOR [ M7RA15GB4Y ]  PANASONIC,Active,1,STOCK CAGE,EA,1J029B,224,AAC Plant 1
S000018,PANASONIC AC GEAR MOTOR [ M8RX25GB4L REPLACES M8RA25GB4L ] DC06 BACK PRESSURE CV MOTOR,Active,2,STOCK CAGE,EA,1J032F,237.8,AAC Plant 1
S000018,PANASONIC AC GEAR MOTOR [ M8RX25GB4L REPLACES M8RA25GB4L ] DC06 BACK PRESSURE CV MOTOR,Active,1,STOCK CAGE,EA,2K009I,237.8,AAC Plant 2
S000019,PANASONIC AC GEAR MOTOR [ M9RA40G4Y ],Active,1,STOCK CAGE,EA,1J028A,310,AAC Plant 1
S000020,PANASONIC AC GEAR MOTOR [ M9RA40GB4Y ],Active,1,STOCK CAGE,EA,1J028C,225,AAC Plant 1
S000021,AC LINE FILTER [ A81L00010083 # 3C],Active,1,STOCK CAGE,EA,2L004A,227,AAC Plant 2
S000022,AC LINE FILTER [ A81L00010101 #C ],Active,1,STOCK CAGE,EA,2Z048A-1,288,AAC Plant 2
S000023,FANUC AC MOTOR [ A06B-0314-B272 ],Active,1,STOCK CAGE,EA,1U004E,1,AAC Plant 1
S000024,TSUBAKIMOTO AC MOTOR [ CLM040520LBW4409 ](70808HHL369)LS71 EMERSON,Active,1,STOCK CAGE,EA,1ZA004C,226,AAC Plant 1
S000025,(INACTIVE).....US MOTOR AC MOTOR [ HW15EK9CP ] CT-1 COOLING TOWER,Inactive,0,,,,1500,AAC Plant 1
S000026,"LINCOLN MOTOR [LM16757] 10HP, 1450RPM, FRAME 215TC REPLACES LEESON[ TF4288C ]",Active,2,STOCK CAGE,EA,1DM-A12,1006.94,AAC Plant 1
S000027,AC REACTOR POWER SUPPLY / [ A81L00010122 ],Active,2,STOCK CAGE,EA,2Z045H,259,AAC Plant 2
S000028,AC REACTOR POWER SUPPLY [ A81L00010120 ],Active,1,STOCK CAGE,EA,2J016D,515.62,AAC Plant 2
S000029,FANUC AC SERVO AMPLIFIER [ A06B-6079-H106 ],Active,1,STOCK CAGE,EA,1A045C,4163.93,AAC Plant 1
S000029,FANUC AC SERVO AMPLIFIER [ A06B-6079-H106 ],Active,2,STOCK CAGE,EA,2H009A,4163.93,AAC Plant 2
S000030,AC SERVO CONTROLLER [ 1391B-AA22 ],Active,1,STOCK CAGE,EA,1A039A,256,AAC Plant 1
S000031,"ALLEN BRADLEY AC SERVO MOTOR [ 122250 ]24.6 AMP, 3000 RPM",Active,2,STOCK CAGE,EA,1T009E,271,AAC Plant 1
S000032,FANUC AC SERVO MOTOR [ A06B-0032-B075#0008]  B2/3000 A32B w/ Keyway,Active,1,STOCK CAGE,EA,1T003A,1398.15,AAC Plant 1
S000033,MITSUBISHI AC SERVO MOTOR [HG-SR52B] REPLACES [ HCSF52B ],Active,1,STOCK CAGE,EA,1U004G,1013.64,AAC Plant 1
S000034,AC SERVO MOTOR / SANY0 DENKI [ P20B10100DXS00 ],Active,2,STOCK CAGE,EA,2K011F,1549.58,AAC Plant 2
S000035,AC SERVO MOTOR / SANYO DENKI [ P20B10150DXS00 ]SDDV DC06 9020 DC02 DCL9001,NoPurchase,0,,,,1435.5,AAC Plant 1
S000035,AC SERVO MOTOR / SANYO DENKI [ P20B10150DXS00 ]SDDV DC06 9020 DC02 DCL9001,NoPurchase,0,,,,1435.5,AAC Plant 2
S000036,"YASKAWA AC SERVO MOTOR  [ SGMP02U314M ] 200WATT, 200VOLT, 2.0AMP, SER. # 9W0461-1-27  YASKAWA",Active,2,STOCK CAGE,EA,1U008F,1,AAC Plant 1
S000037,FANUC AC SPINDLE MOTOR [ A06B-0850-B390#3000 ],Active,1,STOCK CAGE,EA,1U004C,2338.28,AAC Plant 1
S000038,FANUC AC SPINDLE MOTOR [ A06B-0854-B390#3000 ],Active,1,STOCK CAGE,EA,1T005D,8048.4,AAC Plant 1
S000039,OBSOLETE.....ACTIVATING SCREW [ 104HT103 / GREEN 3 ],OBSOLETE,0,,,,5,AAC Plant 1
S000040,(INACTIVE).....ACTUATOR [ CDRQ2BS2090C ],Inactive,0,,,,1000,AAC Plant 1
S000041,(INACTIVE).....ACTUATOR [ DA109 ],Inactive,0,,,,149.48,AAC Plant 1
S000042,ACTUATOR [ EA5100010 ],Active,2,STOCK CAGE,EA,1G050C,551.22,AAC Plant 1
S000043,ACTUATOR [ MSQB30A ],Active,1,STOCK CAGE,EA,1G048A,347.02,AAC Plant 1
S000044,HONEYWELL ACTUATOR  [ V4055A1007 ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002B,174,AAC Plant 2
S000045,HONEYWELL ACTUATOR  [ V4055A1031 ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002C,189,AAC Plant 2
S000046,HONEYWELL ACTUATOR  [ V4055D1035 ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002A,242,AAC Plant 2
S000047,ACTUATOR COIL [ CAV2 ] DC 24V / 500-800 TON / DC,Active,4,STOCK CAGE,EA,2V102C,110.4,AAC Plant 2
S000048,ADAPTOR [ H230940MM ],Active,15,STOCK CAGE,EA,1K022B,18.5,AAC Plant 1
S000049,ADAPTOR ASSEMBLY [ 30871120 ] MML-7029,Active,12,STOCK CAGE,EA,TCE-D014B,16.6,AAC Plant 1
S000050,ADAPTOR PLATE PANEL MOUNT [ DE371 PADV606 ] DC,Active,2,STOCK CAGE,EA,1C091E,98,AAC Plant 1
S000051,ADJUST BOLT [ 0441943000 ] (PISTON LINE),OBSOLETE,0,,,,40,AAC Plant 1
S000052,ADJUSTABLE DECK PLATE,OBSOLETE,0,,,,180,AAC Plant 1
S000053,ADJUSTABLE UNIT [ A202531 ] (PISTON LINE),OBSOLETE,0,,,,253.6,AAC Plant 1
S000054,ADTEK CANTER [ PCFK9D50 ],Active,1,STOCK CAGE,EA,1L011A,220,AAC Plant 1
S000056,AGA 3 HOLE [ AGA311Y ] FI08,Active,1,STOCK CAGE,EA,TCI-D09B,82.78,AAC Plant 1
S000057,AGA 5 HOLE [ AGA511Y ],Active,2,STOCK CAGE,EA,TCI-D09A,83,AAC Plant 1
S000058,AIR CARTRIDGE ASSEMBLY 25L [ 43847 ] (PISTON LINE),OBSOLETE,0,,,,196.35,AAC Plant 1
S000059,AIR CATCH SENSOR [ ISA11101BG ],Active,1,STOCK CAGE,EA,1K046D,150.82,AAC Plant 1
S000060,AIR CATCH SENSOR [ ISA15101BG ],Active,10,STOCK CAGE,EA,1P010G,181.82,AAC Plant 1
S000061,AIR COMBINATION UNIT  AC40B-03DG-A REPLACES  [ AC40B-03DG ] REPLACES [ AC402003DG ]DC04 DCL3012,Active,2,STOCK CAGE,EA,1H008B,56.31,AAC Plant 1
S000063,AIR COUPLER [ 40SFNPT ],Active,4,STOCK CAGE,EA,TCF-D02A,13.06,AAC Plant 1
S000064,AIR CYLINDER [ ACNLX263X160TC1 ] VVT/351,OBSOLETE,0,,,,210.1,AAC Plant 1
S000065,AIR CYLINDER [ ACNLX280X200TC1 ] VVT/351,OBSOLETE,0,,,,339.65,AAC Plant 1
S000066,AIR CYLINDER [ CDG1BA32150H7BWL ] VVT/351,OBSOLETE,0,,,,111.68,AAC Plant 1
S000067,SMC AIR CYLINDER CDG1BN40-375Z-K59WL  replaces [ CDG1BN40-375-K59WL ] (CDG1BN40375K59WL) VVT/351,Active,1,STOCK CAGE,EA,1F053D,146.12,AAC Plant 1
S000068,AIR CYLINDER [ CDG1FA32250H7BWL ] VVT/351,OBSOLETE,0,,,,120.47,AAC Plant 1
S000069,AIR CYLINDER [ CDG1FN32250H7BWL ] VVT/351,OBSOLETE,0,,,,109.02,AAC Plant 1
S000070,AIR CYLINDER [ CDG1RN32100H7BAL ] VVT/351,OBSOLETE,0,,,,119.78,AAC Plant 1
S000071,AIR CYLINDER [ CDJ2F1630H7WBL ] VVT/351,OBSOLETE,0,,,,87.24,AAC Plant 1
S000072,AIR CYLINDER [ CDQ2B2010DCF7BVL ] VVT/351,OBSOLETE,0,,,,119.36,AAC Plant 1
S000073,AIR CYLINDER [ CDQ2B2010DCMF7BVL ] VVT/351,OBSOLETE,0,,,,108.51,AAC Plant 1
S000074,AIR CYLINDER [ CDQ2B2050DCF7BVL ] VVT/351,OBSOLETE,0,,,,109.16,AAC Plant 1
S000075,AIR CYLINDER [ CDQ2B32-100DCZ-M9BAL ] VVT/351,Inactive,0,,,,130.9,AAC Plant 1
S000076,AIR CYLINDER [ CDQ2B32100DCJ79WL ] VVT/351,OBSOLETE,0,,,,142.88,AAC Plant 1
S000077,AIR CYLINDER [ CDQ2B3245DCMF7BAL ] VVT/351,OBSOLETE,0,,,,103.67,AAC Plant 1
S000078,OBSOLETE......AIR CYLINDER [ CDQ2B326DCF7BVL ] VVT/351,OBSOLETE,0,,,,99.65,AAC Plant 1
S000079,AIR CYLINDER [ CDQ2B4030DCF7BAL ] VVT/351,OBSOLETE,0,,,,125.08,AAC Plant 1
S000080,AIR CYLINDER [ CDQ2B40-40DCMZ ] REPLACES [ CDQ2B4040CMF7BAL ] VVT/351,Inactive,0,,,,42.15,AAC Plant 1
S000081,AIR CYLINDER [ CDQ2B4040DCMJ79WL ] VVT/351,OBSOLETE,0,,,,117.85,AAC Plant 1
S000082,AIR CYLINDER [ CDQ2B4040DMF7BAL ] VVT/351,OBSOLETE,0,,,,109.79,AAC Plant 1
S000083,AIR CYLINDER [ CDQ2B6320DCMJ79WL ] VVT/351,OBSOLETE,0,,,,134.45,AAC Plant 1
S000084,AIR CYLINDER [ CDQ2D2050DCF7BVL ] VVT/351,OBSOLETE,0,,,,100.64,AAC Plant 1
S000085,AIR CYLINDER [ CDQ2WF50100DCMJ79WL3 ] VVT/351,OBSOLETE,0,,,,215.58,AAC Plant 1
S000086,AIR CYLINDER [ CDU105DF9BVL ] VVT/351,OBSOLETE,0,,,,99.32,AAC Plant 1
S000087,AIR CYLINDER [ CXSM2575 ],OBSOLETE,0,,,,910,AAC Plant 1
S000089,INLET FILTER [ 39903281 ] SAME AS [22-1963] COMPRESSOR ROOM,Active,4,STOCK CAGE,EA,1U006A,79.77,AAC Plant 1
S000089,INLET FILTER [ 39903281 ] SAME AS [22-1963] COMPRESSOR ROOM,Active,4,STOCK CAGE,EA,2S023B,79.77,AAC Plant 2
S000090,AIR FILE (MSC # 09513573)  FP-705,Active,2,STOCK CAGE,EA,1 BLUE CAB BOTTOM-B,210.15,AAC Plant 1
S000090,AIR FILE (MSC # 09513573)  FP-705,Active,2,STOCK CAGE,EA,2 BLUE CAB E,210.15,AAC Plant 2
S000091,AIR FILTER [ AF20-01-C-A ] REPLACES [ AF200001C ],Active,0,,,,19.75,AAC Plant 1
S000092,AIR FILTER [AF20-02BCA] REPLACES  [ AF20-02BC ] AND [ AF2002C ],Active,4,STOCK CAGE,EA,2V002A-1,15.09,AAC Plant 2
S000093,SMC AIR FILTER [ AF30-03C ] (AF3003C) REPLACES AF300003C DC06 DCL9021 DC04 DCL3012,Active,2,STOCK CAGE,EA,1H013B,26.57,AAC Plant 1
S000093,SMC AIR FILTER [ AF30-03C ] (AF3003C) REPLACES AF300003C DC06 DCL9021 DC04 DCL3012,Active,6,STOCK CAGE,EA,2V002B,26.57,AAC Plant 2
S000094,AIR FILTER [ AF30-03D ] REPLACES AF300003D DC02 DCL9002,Active,3,STOCK CAGE,EA,1H013C,26.05,AAC Plant 1
S000095,AIR FILTER [ AF30N-03ZA ] REPLACES AF3000N03 DC06 DCL9020,Active,9,STOCK CAGE,EA,1H013D,11.65,AAC Plant 1
S000096,AIR FILTER [ AF40-03 ] REPLACES AF400003  DC01 9001,Active,3,STOCK CAGE,EA,1H013E,22.17,AAC Plant 1
S000097,AIR FILTER [AF40-06BD-A] REPLACES [ AF40-06BD ] AND [AF400006BD] DC03 DCL3003,Active,4,STOCK CAGE,EA,2V002C,46.02,AAC Plant 2
S000098,AIR FILTER [AF60-102] REPLACES [ AF6000102 ],Active,2,STOCK CAGE,EA,1H014A,56.99,AAC Plant 1
S000099,AIR FILTER [AFM30-03-A] REPLACES [ AFM3003 ] AND AFM300003,Active,4,STOCK CAGE,EA,1H013F,27.47,AAC Plant 1
S000100,AIR FILTER [AFM40-04D-A] REPLACES [ AFM4004D ] AND AFM400004D,Active,6,STOCK CAGE,EA,1H014D,46.15,AAC Plant 1
S000101,HYDRAULIC FILTER [ EP910010W ]DC91 DC92,Active,18,STOCK CAGE,EA,1ZD003C,22.56,AAC Plant 1
S000101,HYDRAULIC FILTER [ EP910010W ]DC91 DC92,Active,17,STOCK CAGE,EA,2T063B,22.56,AAC Plant 2
S000102,AIR FILTER AF60-N10-Z REPLACES [ NAF6000N10 ],Active,3,STOCK CAGE,EA,1H016C,50.29,AAC Plant 1
S000103,AIR FILTER [ NAQ5000N06 ],OBSOLETE,0,,,,30.5,AAC Plant 1
S000104,(INACTIVE).....AIR FILTER [ U030815W3848 ],Inactive,0,,,,5.44,AAC Plant 1
S000105,(INACTIVE).....AIR FILTER [ U030820U381T ],Inactive,0,,,,108,AAC Plant 1
S000106,AIR FILTER [ VFA400020FL446125 ] REPLACES [ VFA400015FL280481 ],Active,2,STOCK CAGE,EA,2V002D,139.6,AAC Plant 2
S000107,AIR FILTER BOWL [ C200F ] SAME AS AD62,Active,3,STOCK CAGE,EA,1H015D-1,15.8,AAC Plant 1
S000108,AIR FILTER SUPPLY [ 3AEDSF0920030 ],Active,4,STOCK CAGE,EA,1P019 TOP A,101.14,AAC Plant 1
S000109,AIR GAP #1 [ M02MM102(J1)3 ] MML-7029 278 O/P,OBSOLETE,0,,,,237,AAC Plant 1
S000110,AIR GAP #2 [ M02MM102(J1)04 ] MML-7029 278 O/P,OBSOLETE,0,,,,305,AAC Plant 1
S000111,AIR GAUGE [ K40MP1.0NO1MS ],Active,3,STOCK CAGE,EA,1H050B,7.2,AAC Plant 1
S000112,AIR DIE GRINDER  [INGERSOL RAND 301B] REPLACES [ 23Z008 ] RIGHT ANGLE,Active,17,STOCK CAGE,EA,1 BLUE CAB D,62.36,AAC Plant 1
S000112,AIR DIE GRINDER  [INGERSOL RAND 301B] REPLACES [ 23Z008 ] RIGHT ANGLE,Active,12,STOCK CAGE,EA,2 BLUE CAB B,62.36,AAC Plant 2
S000113,"AIR GRINDER [MSC # 42183624 / MFG#JSM-512A ]   REPLACES #63241236 (DIE GRINDER) 1/4"" 90PSI W/SAFE LVR ] DC06 DCL9013",Active,17,STOCK CAGE,EA,1 BLUE CAB E,30.52,AAC Plant 1
S000113,"AIR GRINDER [MSC # 42183624 / MFG#JSM-512A ]   REPLACES #63241236 (DIE GRINDER) 1/4"" 90PSI W/SAFE LVR ] DC06 DCL9013",Active,23,STOCK CAGE,EA,2 BLUE CAB F,30.52,AAC Plant 2
S000114,AIR HAMMER [ IR-116 ] OR [ 6Z559 ] DC91 DC92,Active,6,STOCK CAGE,EA,1 BLUE CAB A,60.6,AAC Plant 1
S000114,AIR HAMMER [ IR-116 ] OR [ 6Z559 ] DC91 DC92,Active,7,STOCK CAGE,EA,2 BLUE CAB D,60.6,AAC Plant 2
S000117,AIR LIFTER [ DZ176 ],Active,2,STOCK CAGE,EA,1J016C,184.6,AAC Plant 1
S000118,AIR LIMITER [ A0L112SG3 ],Active,2,STOCK CAGE,EA,1H006G,202.6,AAC Plant 1
S000119,AIR LIMITER [ AOL112ST3 ],Active,2,STOCK CAGE,EA,1H003D,234,AAC Plant 1
S000120,AIR LIMITER [ S511000001 ],Active,6,STOCK CAGE,EA,1H003B,302,AAC Plant 1
S000121,AIR LIMITER [ S511000004 ],Active,2,STOCK CAGE,EA,1H006F,225.36,AAC Plant 1
S000122,AIR LIMITER [ S511000303 ],Active,4,STOCK CAGE,EA,1H006E,10,AAC Plant 1
S000123,AIR LIMITER [ S511000304 ],Active,16,STOCK CAGE,EA,1H003C,225,AAC Plant 1
S000124,AIR LIMITER [ S511001003 ] PISTON LINE,OBSOLETE,0,,,,206.35,AAC Plant 1
S000125,ROTARY UNION [ 1116090059 ]  REPLACES 1106-090-059  DEUBLIN,Active,1,STOCK CAGE,EA,1G049F,156.73,AAC Plant 1
S000126,AIR MOTOR [ H06C100 ]  HOWA,Active,1,STOCK CAGE,EA,1J033G,1061.1,AAC Plant 1
S000127,(INACTIVE).....AIR NOZZLE [ 1/4 x 8 x 6 x L70 ] 2250 TON / DC,Inactive,0,,,,58.5,AAC Plant 2
S000128,AIR NOZZLE [ 1/4 TFF4216010PPS ] REPLACES [ 4216010 ]MA91,Active,6,STOCK CAGE,EA,1P011B-3,39.06,AAC Plant 1
S000129,AIR PAD [ 88213203109 ],Active,2,STOCK CAGE,EA,1J008C-1,192,AAC Plant 1
S000130,AIR PAD [ 8823201121B ],OBSOLETE,0,,,,232,AAC Plant 1
S000131,AIR REGULATOR [ AR40-06BG-A ] REPLACES  [ AR4006BG ] REPLACES [ AR400006BG ] 500-800 TON / DC04 DCL3012 QC53 CLL7014,Active,2,STOCK CAGE,EA,1H010C,38.42,AAC Plant 1
S000131,AIR REGULATOR [ AR40-06BG-A ] REPLACES  [ AR4006BG ] REPLACES [ AR400006BG ] 500-800 TON / DC04 DCL3012 QC53 CLL7014,Active,3,STOCK CAGE,EA,2V002E,38.42,AAC Plant 2
S000132,AIR REGULATOR [ AR20-01H-A ] REPLACES [ AR200001 ] AR2001HA,Active,3,STOCK CAGE,EA,1H009B,9.44,AAC Plant 1
S000133,AIR REGULATOR [ AR20-K01 ] REPLACES AR206001BG,Active,1,STOCK CAGE,EA,1H008D,8.5,AAC Plant 1
S000134,AIR REGULATOR [ AR2502HB ] REPLACES AR250002 MA91,Active,4,STOCK CAGE,EA,1H010E,13.31,AAC Plant 1
S000135,AIR REGULATOR [ AR25K-02BG-B ] REPLACES [ AR25K02BG ] REPLACES AR256002BG AS91 DOJO,Active,3,STOCK CAGE,EA,1H010F,25.44,AAC Plant 1
S000136,AIR REGULATOR [AR30-03-B] REPLACES [ AR3003H ] AND [ AR300003 ],Active,3,STOCK CAGE,EA,1H009D,16.4,AAC Plant 1
S000137,AIR REGULATOR [ AR4004 ] REPLACES [ AR400004 ]DC04 DCL3012 MA24 MML7079,Active,3,STOCK CAGE,EA,1H009C,19.48,AAC Plant 1
S000138,AIR REGULATOR  [ AR40K-03G-B ] REPLACES [ AR40K03G ] REPLACES [ AR406003G ],Active,2,STOCK CAGE,EA,1H010D,24.2,AAC Plant 1
S000139,(INACTIVE).....AIR REGULATOR [ AR42503BG ] VVT / 351,Inactive,0,,,,56.47,AAC Plant 1
S000140,AIR REGULATOR [ AR82514G ] GF,Active,1,STOCK CAGE,EA,2V002F,203.28,AAC Plant 2
S000141,AIR REGULATOR [ ARP30-02BG ],Active,2,STOCK CAGE,EA,1H010G,45.4,AAC Plant 1
S000142,AIR REGULATOR [ IR202002B ] TEL 3001-3005,Active,2,STOCK CAGE,EA,2V002A-2,71.05,AAC Plant 2
S000143,AIR REGULATOR [ AR25N03ZA ]  REPLACES NAR2500N03,Active,3,STOCK CAGE,EA,1H012F,12.98,AAC Plant 1
S000144,AIR REGULATOR [ NAR410N03 ],Active,2,STOCK CAGE,EA,1H011D,24.81,AAC Plant 1
S000145,AIR REGULATOR [ RC2020002 ],Inactive,0,,,,287.77,AAC Plant 1
S000146,AIR REGULATOR W/GAUGE BRACKET [AR20-02H-1] REPLACES [ AR2000021 ],Active,3,STOCK CAGE,EA,1H009A,7.67,AAC Plant 1
S000147,AIR SLIDE [ MXQ12-10CS-M9BWL ] REPLACES [ MXQ1210CSF9BWL ] VVT/351,Active,1,STOCK CAGE,EA,1G044B,395.1,AAC Plant 1
S000148,AIR SLIDE TABLE [ MXS810F9BWL ] VVT/351,OBSOLETE,0,,,,310.64,AAC Plant 1
S000149,(INACTIVE).....AIR TANK [ VBAT38 ],Inactive,0,,,,582.65,AAC Plant 1
S000149,(INACTIVE).....AIR TANK [ VBAT38 ],Inactive,0,,,,582.65,AAC Plant 2
S000150,AIR TANK 12 GAL [ VBAT38A1-EV-X105 ] REPLACES [VBAT45] REPLACES [CD001] REPLACES [ VBAT38V ] AS14 ZML7008,Active,1,STOCK CAGE,EA,1W005C,583.55,AAC Plant 1
S000150,AIR TANK 12 GAL [ VBAT38A1-EV-X105 ] REPLACES [VBAT45] REPLACES [CD001] REPLACES [ VBAT38V ] AS14 ZML7008,Active,1,STOCK CAGE,EA,2P013E,583.55,AAC Plant 2
S000151,AIR VALVE [ 2434E213 ] AC100V  KOGANEI,Active,2,STOCK CAGE,EA,1G045E,112.56,AAC Plant 1
S000152,(INACTIVE).....AIR WRENCH [ UX450SD ],Inactive,0,,,,1225,AAC Plant 1
S000153,ALARM UNIT [KUSB],OBSOLETE,0,,,,95.81,AAC Plant 1
S000154,ALLEN BOLTS [ 60560101018100108 ],Active,23,STOCK CAGE,EA,TCJ-D04J,4,AAC Plant 1
S000155,"FANUC PCB, SERVO CONTROL CARD (4 AXES) [ A20B-3300-0032/01A ] ALPHA, KEYWORD' AXISBOARD",Active,1,STOCK CAGE,EA,1A021D,883.55,AAC Plant 1
S000157,OMRON AMP [ CV500-TER01 ]  [ CV500TER01 ] REPLACES 21768722,OBSOLETE,0,,,,126,AAC Plant 1
S000158,AMP [ FS-M1 ],Active,11,STOCK CAGE,EA,1L007A,131.9,AAC Plant 1
S000159,AMP [ FU-43 ],Active,2,STOCK CAGE,EA,1L006D,117.07,AAC Plant 1
S000160,MITSUBISHI AMP METER [ YS8NAA ] 0-300A-300/5A - 500-800 TON / DC,Active,5,STOCK CAGE,EA,1K037F,27.86,AAC Plant 1
S000160,MITSUBISHI AMP METER [ YS8NAA ] 0-300A-300/5A - 500-800 TON / DC,Active,0,,,,27.86,AAC Plant 2
S000161,OMRON AMPLIFIER [ F2LP-WK4-US ] [ F2LPWK4US ],Active,2,STOCK CAGE,EA,1S032F,305.04,AAC Plant 1
S000161,OMRON AMPLIFIER [ F2LP-WK4-US ] [ F2LPWK4US ],Active,1,STOCK CAGE,EA,2X010G,305.04,AAC Plant 2
S000162,HONEYWELL FLAME DETECTOR R7849A1023,Active,1,STOCK CAGE,EA,1J051H,187.7,AAC Plant 1
S000163,KEYENCE AMPLIFIER [ TA340 ],Active,3,STOCK CAGE,EA,1L016H,575,AAC Plant 1
S000164,FANUC AMPLIFIER MODULE [ A06B-6079-H105 ],Active,1,STOCK CAGE,EA,1A029A,2676,AAC Plant 1
S000165,FANUC AMPLIFIER MODULE [ A06B-6079-H206 ],Active,3,STOCK CAGE,EA,1A033C,3996,AAC Plant 1
S000166,FANUC AMPLIFIER MODULE [ A06B-6079-H207 ] [ A06B6079H207 ],Active,1,STOCK CAGE,EA,1A009A,5195.65,AAC Plant 1
S000167,OMRON AMPLIFIER UNIT [ E2CA-AN4C ] [ E2CAAN4C ],Active,1,STOCK CAGE,EA,1M012B,268.41,AAC Plant 1
S000168,OMRON ANALOG INPUT [ C200H-AD003 ] 2250 TON / DC,Active,1,STOCK CAGE,EA,2Z016E-3,2385.25,AAC Plant 2
S000169,OMRON ANAOMRON LOG OUTPUT [ C200H-DA003 ] [ C200HDA003 ]  REPLACES OBSOLETE  [ C200HDA001 ] 500-800 TON / DC,Active,4,STOCK CAGE,EA,1S028A,1272.2,AAC Plant 1
S000169,OMRON ANAOMRON LOG OUTPUT [ C200H-DA003 ] [ C200HDA003 ]  REPLACES OBSOLETE  [ C200HDA001 ] 500-800 TON / DC,Active,1,STOCK CAGE,EA,2Z023F,1272.2,AAC Plant 2
S000170,INDIANA TOOL ANGLE BRACKET/PADDLE [ CHIP CONVEYORS ] MACH,Active,6,STOCK CAGE,EA,1Z005F,22,AAC Plant 1
S000171,ANNUCIATOR [ TELE FAULT II ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002G,657,AAC Plant 2
S000172,(INACTIVE).....APTC216F [ 10941 ],Inactive,0,,,,229,AAC Plant 1
S000173,(INACTIVE).....LAC-7003 ARBOR,Inactive,0,,,,172.75,AAC Plant 2
S000174,AREA SENSOR [ NA15 ],Active,2,STOCK CAGE,EA,1L040F,332.81,AAC Plant 1
S000175,(INACTIVE).....INDIANA TOOL ARM (LEFT) [ A99TM448JO14LB ] REPLACES A99ASO526J014L,Inactive,0,,,,221.16,AAC Plant 1
S000176,ARM [ 0102810 ] (PISTON LINE),OBSOLETE,0,,,,37.7,AAC Plant 1
S000177,ARM [ HF8 ] QTY. 2 PCS. = 1 SET,Active,2,STOCK CAGE,EA,1P049B,165,AAC Plant 1
S000178,ARM [ R2148IH3 ],Active,13,STOCK CAGE,EA,1P050D,89,AAC Plant 1
S000179,ARM [ R2398IH3 ],Active,4,STOCK CAGE,EA,1P052G,145,AAC Plant 1
S000180,ARM [ R2398IH7 ],Inactive,0,,,,405,AAC Plant 1
S000181,ARM C [ S76 ]TOYOSK ATC,OBSOLETE,0,,,,395.94,AAC Plant 1
S000182,(INACTIVE).....ATC ARM [ 9M60A114 ] MAKINO LINE,Inactive,0,,,,5720,AAC Plant 2
S000183,ATC ARM [ YM9193768A ],OBSOLETE,0,,,,2750,AAC Plant 1
